<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
GAZP,60,17/02/20,13:00:00,232.4900000,233.1900000,231.9100000,233.1900000
GAZP,60,17/02/20,14:00:00,233.1900000,234.0700000,232.8400000,232.9000000
GAZP,60,17/02/20,15:00:00,232.9500000,233.1300000,232.5000000,232.6400000
GAZP,60,17/02/20,16:00:00,232.6400000,233.1800000,232.2600000,233.0200000
GAZP,60,17/02/20,17:00:00,233.0200000,233.1600000,232.5000000,232.8500000
GAZP,60,17/02/20,18:00:00,232.8200000,233.6200000,232.6800000,233.5000000
GAZP,60,17/02/20,19:00:00,233.5200000,233.9200000,233.4000000,233.7500000
GAZP,60,18/02/20,11:00:00,232.9700000,233.2800000,231.7000000,232.2500000
GAZP,60,18/02/20,12:00:00,232.2500000,232.3000000,231.7500000,232.1700000
GAZP,60,18/02/20,13:00:00,232.1600000,232.1700000,231.5000000,231.7000000
GAZP,60,18/02/20,14:00:00,231.6600000,232.0700000,231.2800000,231.5000000
GAZP,60,18/02/20,15:00:00,231.4400000,231.7100000,230.5700000,230.7400000
GAZP,60,18/02/20,16:00:00,230.7500000,231.0000000,230.1000000,230.2800000
GAZP,60,18/02/20,17:00:00,230.2800000,230.9000000,229.8000000,230.3500000
GAZP,60,18/02/20,18:00:00,230.3700000,231.7900000,230.3300000,231.4600000
GAZP,60,18/02/20,19:00:00,231.4700000,231.4900000,230.0000000,230.5000000
GAZP,60,19/02/20,11:00:00,231.8400000,233.5000000,231.2100000,232.6400000
GAZP,60,19/02/20,12:00:00,232.6600000,232.9400000,231.8000000,231.9900000
GAZP,60,19/02/20,13:00:00,231.9900000,232.1800000,231.5000000,231.6700000
GAZP,60,19/02/20,14:00:00,231.6700000,231.9200000,231.5000000,231.8000000
GAZP,60,19/02/20,15:00:00,231.8000000,231.9000000,230.7100000,231.4800000
GAZP,60,19/02/20,16:00:00,231.5400000,232.6500000,231.2800000,231.7000000
GAZP,60,19/02/20,17:00:00,231.7000000,232.0700000,231.0100000,232.0000000
GAZP,60,19/02/20,18:00:00,232.0300000,232.4200000,231.5100000,232.2200000
GAZP,60,19/02/20,19:00:00,232.2100000,232.3100000,231.7600000,231.9000000
GAZP,60,20/02/20,11:00:00,232.5500000,234.1600000,232.0000000,234.1000000
GAZP,60,20/02/20,12:00:00,234.1000000,235.5000000,233.8300000,234.7600000
GAZP,60,20/02/20,13:00:00,234.7600000,234.8000000,234.0200000,234.3900000
GAZP,60,20/02/20,14:00:00,234.4000000,235.7500000,234.3700000,234.9700000
GAZP,60,20/02/20,15:00:00,234.9400000,235.3500000,234.6800000,234.9100000
GAZP,60,20/02/20,16:00:00,234.9700000,235.5000000,234.9000000,235.4500000
